group,reference_size,marker_x,marker_y,ratio,exact_pixel_count
Noise,100,371,656.0,0.8377422343801512,346
Noise,250,623,499.0,1.0889151688107863,344
Noise,500,814,457.0,1.1680454283818604,342
Noise,1000,1004,385.0,1.3173058630522956,341
Noise,4000,1385,260.0,1.6231487073292428,41
Blur,100,371,598.0,0.9229582853283068,344
Blur,250,623,462.0,1.1583314992453801,341
Blur,500,814,402.0,1.2804283330686657,341
Blur,1000,1004,360.0,1.3734756422254795,341
Blur,4000,1385,275.0,1.58298831094592,341
Weather,100,371,472.0,1.1391453237976485,341
Weather,250,623,377.0,1.335025658361751,341
Weather,500,814,348.0,1.401281678333601,341
Weather,1000,1004,290.0,1.5438215742503283,341
Weather,4000,1385,236.0,1.6895353146618546,341
Digital,100,371,838.0,0.6181479548926183,357
Digital,250,623,618.0,0.8926364217019931,351
Digital,500,814,543.0,1.0117602535476784,291
Digital,1000,1004,457.0,1.1680454283818604,341
Digital,4000,1385,369.0,1.3529838122442728,341
