time,x_t,true_cdf,empirical_cdf,eta_before,eta_used,eta_after,released_bet,released_wealth,equation8_bet,equation8_wealth,reverse_bet,reverse_wealth
1,0.0,1.0,1.0,0.0,0.0,0.5,0.9999999481069943,0.9999999481069943,1.4481069916625224,1.4481069916625224,0.49999999999996103,0.49999999999996103
2,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,1.4481068932622922,1.4481069916625224,2.097013859301881,0.49999999999996103,0.24999999999996103
3,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,2.097013683134111,1.4481069916625224,3.0367004312682626,0.49999999999996103,0.12499999999997077
4,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,3.0367001273953513,1.4481069916625224,4.397467126104169,0.49999999999996103,0.062499999999980516
5,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,4.397466615449449,1.4481069916625224,6.368002890917546,0.49999999999996103,0.031249999999987822
6,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,6.368002049177916,1.4481069916625224,9.221549509264854,0.49999999999996103,0.015624999999992693
7,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,9.221548142256793,1.4481069916625224,13.353790318328537,0.49999999999996103,0.007812499999995738
8,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,13.353788124320351,1.4481069916625224,19.337717125166854,0.49999999999996103,0.0039062499999975644
9,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,19.33771363748452,1.4481069916625224,28.003083371746214,0.49999999999996103,0.00195312499999863
10,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,28.003077871537446,1.4481069916625224,40.55146081873421,0.49999999999996103,0.0009765624999992389
11,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,40.55145220267087,1.4481069916625224,58.72285393373785,0.49999999999996103,0.0004882812499995814
12,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,58.72284051378875,1.4481069916625224,85.03697535182285,0.49999999999996103,0.00024414062499977167
13,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,85.03695455278287,1.4481069916625224,123.14263855680825,0.49999999999996103,0.00012207031249987632
14,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,123.14260646015713,1.4481069916625224,178.32371586588494,0.49999999999996103,6.10351562499334e-05
15,0.0,1.0,1.0,0.5,0.5,0.5,1.4481069684089154,178.32366652299027,1.4481069916625224,258.2318197246291,0.49999999999996103,3.0517578124964323e-05
