reference_size,power,sampled_y,conditional_x,standard_x,conditional_time,standard_time,x_group_count
100,0.1,808,614.5,687.5,11.894692473017603,20.162881153969295,2
100,0.3,641,665.0,734.0,17.135980062611452,28.21950883690142,2
100,0.4,558,689.0,749.0,20.382721306852403,31.45177875032514,2
100,0.5,474,721.0,770.5,25.68816747804701,36.74084467734931,2
100,0.6,390,765.0,792.5,35.30861567337443,43.0747653135066,2
100,0.7,307,813.5,,50.13684321913126,,1
100,0.8,223,864.0,,72.22918522309223,,1
500,0.1,808,583.5,639.5,9.506529014323881,14.251026703029977,2
500,0.3,641,606.5,671.5,11.226269888792677,17.96044577023589,2
500,0.4,558,630.5,,13.353302794628636,,1
500,0.5,474,650.0,701.5,15.374931403548405,22.310465625513437,2
500,0.6,390,673.5,,18.22202114707027,,1
500,0.7,307,700.0,741.0,22.06983356759693,29.684345142566674,2
500,0.8,223,744.5,772.0,30.445035410462012,37.141437868830444,2
4000,0.1,808,555.5,625.5,7.764435563198173,12.8792362543363,2
4000,0.3,641,582.5,659.0,9.438049713566613,16.408566581547067,2
4000,0.4,558,595.0,671.5,10.33067570009039,17.96044577023589,2
4000,0.5,474,613.0,687.0,11.766400918008863,20.090129285159623,2
4000,0.6,390,636.0,702.5,13.894954943731374,22.472342828110506,2
4000,0.7,307,663.0,725.0,16.88999470203444,26.441859528248933,2
4000,0.8,223,705.5,749.0,22.96505574341977,31.45177875032514,2
